lemma;tags;ordklasse;falsk_positiv
forsone;NA;V;
forspan;NA;S;
forspande;NA;S;1
forspil;"anchor;spades";S;
forspilde;NA;V;
forspille;NA;V;
forsplitte;NA;V;
forspore;NA;V;
forsprede;NA;V;
forsprekker;NA;S;
forspøg;NA;S;
forstand;psy;S;
forstandelig;NA;A;
forstander;und;S;
forstandig;NA;A;
forstikke;spades;V;
forstive;NA;V;
forstokke;NA;V;
forstokket;NA;A;
forstrand;NA;S;
forstrække;NA;V;
forstrø;s;V;
forstykke;NA;V;
forstyrre;fys;V;
forstændelig;NA;A;
forstændighed;NA;S;
forstaa;NA;V;
forstaaelse;NA;S;
forsure;NA;V;
forsvage;comet;V;
forsvare;"mil;spo;jur";V;
forsvige;NA;V;
forsvinde;NA;V;
forsvække;NA;V;
forsværge;NA;V;
forsæt;jur;S;
forsætlig;NA;A;
forsætte;"swords;anchor";V;
forsøge;NA;V;
forsømme;und;V;
fort;NA;ADV;
fortan;NA;ADV;
fortgang;NA;S;
fortgaa;NA;V;
fortinge;NA;V;
fortinne;NA;V;
fortjene;NA;V;
fortjeneste;øko;S;
fortog;NA;S;
fortolke;NA;V;
fortone;anchor;V;
fortoning;anchor;S;
fortove;NA;V;
fortrin;NA;S;
fortro;NA;V;
fortryde;NA;V;
fortrydelig;NA;A;
fortrykke;NA;V;
fortræd;NA;S;
fortrædelig;NA;A;
fortræden;NA;A;
fortræffelig;NA;A;
fortrænge;psy;V;
fortsætte;NA;V;
fortuske;NA;V;
fortusket;NA;A;
fortvivle;NA;V;
fortykke;NA;V;
fortælle;"kom;lit;kun";V;
fortænke;NA;V;
fortænkelig;NA;A;
fortære;NA;V;
fortøgering;NA;S;
fortøje;anchor;V;
fortørne;NA;V;
fortørnet;psy;A;
fortørre;NA;V;
fortøve;NA;V;
forunde;NA;V;
forundre;NA;V;
forurene;"mij;hyg";V;
forurette;NA;V;
forvagte;NA;V;
forvandle;NA;V;
forvant;NA;A;
forvantskab;NA;S;
forvar;NA;S;
forvare;psy;V;
forveksle;NA;V;
forvende;NA;V;
forvide;NA;V;
forvilde;"bot;zoo";V;
forvinde;NA;V;
forvirke;NA;V;
forvirre;NA;V;
forvise;NA;V;
forvisse;NA;V;
forvissere;NA;V;
forvorpen;NA;A;
forvorpenhed;NA;S;
forvoven;NA;A;
forældre;NA;V;
forære;NA;V;
foræring;NA;S;
forår;pol;S;
foraar;NA;S;1
foraarsage;NA;V;
fourer;NA;S;
fragt;"anchor;mercury";S;
fransos;NA;S;
fransøsk;NA;A;
frejdig;NA;A;
fremmed;NA;A;
fremture;NA;V;
fri;fam;V;
fri;;A;
fribytter;NA;S;
frier;NA;S;
frihed;"kri;fri;lit";S;
friherre;NA;S;
frilig;NA;A;
frille;NA;S;
frimodig;NA;A;
frimodiglig;NA;ADV;
fripostig;NA;A;
frisk;anchor;A;
fritte;zoo;S;
fro;NA;A;
fro;;ADV;
frokost;gas;S;
from;rel;A;
fromesse;rel;S;
fromme;NA;V;
frommelig;NA;A;
fruentimmer;NA;S;
frugt;"bot;gas";S;
frugtbar;"lan;bio";A;
frugtsommelig;sex;A;
frygt;comet;S;
frygte;psy;V;
frygtelig;NA;A;
frynse;"tin;oad";V;
frynt;NA;S;
fryntlig;NA;A;
fryntskab;NA;S;
frøken;und;S;
fraads;NA;S;
frådse;NA;V;
fraadse;NA;V;1
fraadsig;NA;A;
fråse;NA;V;1
fugt;"met;byg;ana";S;
fugte;hyg;V;
fugtig;"hyg;byg;met";A;
fuk;NA;S;1
fuldbord;NA;S;
fuldbringe;NA;V;
fuldbyrde;NA;V;
fulddrive;NA;V;
fuldende;NA;V;
fuldkomme;NA;V;
fuldkommelig;NA;A;
fuldkommen;NA;A;
fuldmagt;jur;S;
fuldmægtig;NA;A;
fuldmægtige;NA;V;
fuldstændig;NA;A;
fund;NA;S;
fundere;NA;V;
fundig;NA;A;
funke;NA;V;
fure;anchor;V;
fus;NA;A;1
fust;NA;S;
fusthammer;NA;S;
fy;NA;I;
fyldest;NA;S;
fyndig;"spr;psy";A;
fyr;"hvn;ene";S;
fyr;;S;
fyr-;NA;PRÆ;
fyraften;erh;S;
fyrbold;NA;S;
fyrbolle;NA;S;
fyrbøder;tek;S;
fyre;"erh;sex";V;
fyre;;V;
fyrig;NA;A;
fyrighed;NA;S;
fyrste;NA;S;
fyrstelig;NA;A;
fyrstinde;NA;S;
fyrtøj;NA;S;
fægte;spo;V;
fældig;NA;A;
-fældig;NA;SUF;
fælg;NA;S;
fængsel;jur;S;
fænnik;NA;S;
færdig;swords;A;
fæstne;NA;V;
fætter;fam;S;
føje;;S;
føje;NA;V;
føje;;A;
føle;"fyo;spo;psy";V;
følgagtig;NA;A;
føring;"wheel;anchor";S;
gabe;NA;V;
gaber;NA;S;
gadder;NA;S;
gaffel;"mad;geg;ski";S;
galej;skb;S;
galgant;NA;S;
galle;bot;S;
galm;NA;S;
galme;NA;V;
gandes;NA;V;1
ganes;NA;V;
gangevogn;NA;S;1
gangvogn;NA;S;
ganne;NA;V;
ganning;NA;S;
ganske;NA;A;
garn;NA;S;
gav;NA;A;
gave;NA;S;
ge-;NA;PRÆ;
gebyr;mercury;S;
gebærd;NA;S;
gederams;bot;S;
gedulde;NA;V;
gefal;NA;S;1
gefald;NA;S;
gehør;NA;S;
gejstlig;rel;A;
geled;mil;S;
gelede;NA;V;
gelegenhed;NA;S;
gelejde;NA;V;1
gelejdsmand;NA;S;
gelik;NA;ADV;
gemak;NA;S;
gemen;NA;A;
gemenlig;NA;A;
gemyse;gas;S;
gendrive;NA;V;
genegen;NA;A;
gennemtrappet;NA;A;
gerrig;NA;A;
gerrighed;NA;S;
geryst;NA;S;
geraad;NA;S;
geråde;NA;V;
geraade;NA;V;1
gesel;NA;S;
gesellestik;NA;S;
geselstik;NA;S;1
gesind;NA;S;
gesinde;NA;S;1
gesindeken;NA;S;
geskæft;NA;S;
geskænk;NA;S;
gesvindig;NA;A;
gesvindt;s;A;
getagen;NA;A;
getogen;NA;A;1
getov;NA;S;
gevaltig;NA;A;
gevind;NA;S;
gevær;NA;S;
gie;hån;S;
gie;;V;
gifttyde;bot;S;
gige;msk;S;
gigt;med;S;
gisel;NA;S;
gisle;NA;V;
gisse;anchor;V;
give;"anchor;music";V;
gjordel;NA;S;
glas;"gla;bol;søf;mål";S;
glat;NA;A;
glavind;NA;S;
glib;NA;S;
glide;NA;V;
glinse;NA;V;
glise;NA;V;
glube;NA;V;
glubsk;NA;A;
glut;NA;S;
glætte;NA;S;
gnide;NA;V;
gnægge;NA;V;
god;"music;plus;spades;anchor;mercury;flower";A;1
gold;NA;A;
gorgle;NA;V;1
grabbe;NA;V;
granske;NA;V;
grassat;NA;ADV;
grel;NA;A;
greve;kon;S;
grever;NA;S;
grib;zoo;S;
gridsk;NA;A;
grimmende;NA;A;
grimmenis;NA;S;
grindel;NA;S;
gritte;NA;V;
groffenbrad;NA;S;
grotfyrste;NA;S;
grov;"psy;mad;tin;ana";A;
grove;NA;V;
grovelig;NA;A;
grovgrøn;NA;A;
grube;"swords;wheel";S;
grue;comet;S;
grue;;V;
gruelig;NA;A;
grunde;NA;V;
grundelig;NA;A;
grus;gel;S;
grusk;NA;S;1
grusom;NA;A;
grut;NA;S;
grutte;lan;V;
græker;NA;S;
grænse;"oad;geg";S;
græse;NA;V;
græselig;NA;A;
græsenke;NA;S;
græsk;flower;A;
græskar;bot;S;
græsselig;NA;A;
græsspire;NA;S;
grævling;zoo;S;
grøde;NA;S;
grøft;NA;S;
grønirisk;zoo;S;
grønsvær;NA;S;
gudfrygtig;NA;A;
gudsforgætten;NA;A;
gudshus;NA;S;
guldværk;NA;S;
gunst;NA;S;
gunstig;NA;A;
gurgle;"hyg;aku;drk";V;
gusten;NA;A;
gylden;NA;S;
gylle;lan;S;
gynter;NA;S;
gæk;flower;S;
gække;NA;V;
gækkelig;comet;A;
gækkeri;NA;S;
gælde;NA;V;
-gænger;NA;SUF;
gængs;NA;A;
gær;NA;S;
gæstehus;NA;S;
gæv;NA;A;
gøgelspil;NA;S;
gøgl;kul;S;
gøgle;NA;V;
gøgler;bird;S;
gøre;"anchor;spades;comet;mercury;swords";V;
gørtle;NA;V;
gaa;"anchor;comet;swords;spades;mercury";V;1
gaaseørn;bird;S;
hadig;NA;A;
hadsk;NA;A;
-haftig;NA;SUF;
hage;NA;S;
hage;;V;
hagebøsse;NA;S;
hakke;anchor;S;
hakke;;V;
hakkebræt;anchor;S;
hakkelse;NA;S;
hale;NA;V;
halle;NA;S;
halsstarrig;NA;A;
halvere;mat;V;
hamme;NA;S;
hamp;flower;S;
handel;mercury;S;
handelig;NA;A;
handig;anchor;A;
handle;mercury;V;
handling;NA;S;
handske;NA;S;
hank;NA;S;
hanrej;spades;S;
hans;NA;S;
hansa;NA;S;
harnisk;våb;S;
harnisket;NA;A;
harpiks;NA;S;
harpix;NA;S;1
harrild;flower;S;
harsk;NA;A;
hartkorn;NA;S;
harts;NA;S;
has;NA;S;
hase;NA;S;
hast;NA;S;
haste;NA;V;
hastelig;NA;ADV;
hastig;NA;A;
hastmodig;NA;A;
hattestafferer;NA;S;
hav;NA;S;1
have;NA;S;1
havelværk;NA;S;
havn;anchor;S;1
-hed;NA;SUF;
hedensk;NA;A;
hedevig;NA;S;
heftelig;NA;ADV;
heftig;NA;A;
heggel;NA;S;
hegle;lan;S;
hegle;;V;
hekkenfeldt;NA;PROP;1
helgeland;NA;PROP;
heligland;NA;PROP;1
helled;NA;S;
hellegat;anchor;S;
hellighed;NA;S;
helsfyr;NA;S;
helt;kun;S;
hemme;NA;V;
hemmelig;anchor;A;
hemmelighed;NA;S;
hen;NA;ADV;
henbringe;NA;V;
henfart;NA;S;
henlægge;NA;V;
henstille;NA;V;
herberg;NA;S;
herberge;NA;V;
herd;wheel;S;
herkomst;NA;S;
herlig;rel;A;
herlighed;NA;S;
hermelin;NA;S;
herold;his;S;
herre;"spades;mercury";S;
hersk;NA;A;
herskab;NA;S;
herske;NA;V;
hertug;kon;S;
hidse;psy;V;
hidsehund;NA;S;
hie;NA;V;
hige;NA;V;
hilde;wheel;V;
hille;NA;I;
himle;NA;V;
himmelstreg;NA;S;
hind;NA;S;1
hinder;NA;S;1
hinderhold;NA;S;
hindre;NA;V;
hingst;zoo;S;
hinke;NA;V;
hinter;NA;ADV;
hip;NA;S;1
hippokras;NA;S;
hirse;flower;S;
hjald;NA;S;1
hjalte;NA;S;1
hjemsøge;NA;V;
hjerteslag;NA;S;
hjælmetegn;NA;S;
hjælper;NA;S;
hob;NA;S;
hobe;NA;V;
hof;kon;S;
hoffart;NA;S;
hoffourer;kon;S;
hoffærd;NA;S;
hoffærdig;NA;A;
hoffærdighed;NA;S;
hoflig;NA;ADV;
hofte;ana;S;
hokke;NA;V;1
hold;NA;S;
holde;"comet;anchor;wheel;swords";V;1
holk;anchor;S;
holster;NA;S;1
homej;swords;S;
horde;swords;V;1
hore;spades;S;
horensøn;NA;S;1
horesøn;NA;S;
hospital;NA;S;
hov;NA;S;
hovedkulds;NA;ADV;1
hovedskib;NA;S;
hovedstol;øko;S;
hovere;NA;V;
hovmand;NA;S;
hovmester;"søf;fam";S;
hovmod;psy;S;
hovmode;comet;V;
hovmodig;NA;A;
hyttefad;NA;S;1
huge;NA;V;1
huj;NA;S;
huk;anchor;S;
huld;NA;S;
hulde;NA;S;1
hulsten;NA;S;
hulurt;flower;S;
humpel;anchor;S;
hundestejle;fish;S;
hungertitte;NA;S;
hungrig;NA;A;
hurtig;NA;A;
husarm;NA;A;
husbjælke;NA;S;
husblas;NA;S;
husere;NA;V;
husfrue;NA;S;
husgesinde;NA;S;
husk;NA;S;
hutle;NA;V;
hvalrav;NA;S;
hvalspæk;NA;S;
hverdag;NA;S;
hvergarn;NA;S;
hverv;NA;S;
hverve;NA;V;
hvid;møn;A;
hvidesøndag;NA;S;
hvidte;byt;V;
hvilling;fish;S;
hvis;NA;P;
hvis;;K;
hvordan;NA;ADV;
hydefad;NA;S;1
hykle;NA;V;
hylde;NA;V;
hyle;NA;V;
hylle;NA;S;
hyllike;NA;S;
hylster;"swords;anchor";S;
hyppe;lan;V;
hyppig;NA;A;
hyre;søf;S;
hyre;;V;
hyrling;NA;S;
hysing;NA;S;
hysken;NA;S;
hyssing;hån;S;
hyttefad;fsk;S;1
hæfte;"wheel;mercury";S;1
hæg;NA;S;
hæge;NA;V;
hægte;spo;S;
hægte;;S;
hægte;;V;
hælde;NA;V;
hælding;NA;S;
hæle;jur;V;
hælvt;NA;S;
hængsel;NA;S;
hærdig;NA;A;
hærpe;NA;V;
hæs;NA;A;1
hæve;NA;V;1
høfde;hvn;S;
høflig;mercury;A;
højde;"anchor;swords";S;1
højlig;NA;ADV;1
højtid;NA;S;
høker;han;S;
hønnike;NA;S;
høns;"comet;spades";S;
hønse;anchor;V;
høre;NA;V;1
hørig;NA;A;
hørsom;NA;A;
hørsvinger;NA;S;
høvding;NA;S;1
høve;NA;V;1
høved;lan;S;
høvedsmand;NA;S;
høvisk;NA;A;
høvl;tøm;S;
høvle;"vær;mad;tøm";V;
haab;NA;S;
haabe;NA;V;
hån;spr;S;
haan;NA;S;1
haand;"music;wheel;flower;anchor;mercury";S;1
haandfast;NA;A;
haandfæstning;NA;S;1
håndhæve;jur;V;
haandhæve;NA;V;1
haandklove;NA;S;
haandlanger;swords;S;1
håndtere;NA;V;
haandtere;anchor;V;1
haanhed;NA;S;
haard;"anchor;music";A;1
haardnakket;NA;A;
i;NA;PRÆP;1
idel;NA;A;
igle;flower;S;
igt;NA;S;
ih;NA;I;
il;NA;S;
ilder;zoo;S;
ile;NA;V;
ilig;NA;A;
imidlertid;NA;ADV;
indbilde;NA;V;
indbildning;NA;S;
indbildsk;NA;A;
indblæse;NA;V;
indbringe;swords;V;
inddrift;NA;S;
inddrive;NA;V;
-inde;zoo;SUF;
indeholde;NA;V;
inderlig;NA;A;
inderste;NA;S;
indforlive;NA;V;
indgetogen;NA;A;
indhold;"fil;psy;bog";S;
indholt;anchor;S;
indkomst;"øko;ska";S;
indlade;NA;V;
indlager;NA;S;
indlede;NA;V;
indlive;NA;V;
indlægge;"wheel;anchor;comet";V;
indløse;"mercury;comet";V;
indmane;NA;V;
indpas;NA;S;
indprente;NA;V;
indrumme;NA;V;
indsige;NA;V;
indsigelse;NA;S;
indslaa;swords;V;
indstyrte;NA;V;
indstændig;NA;A;
indtog;NA;S;
indtrang;NA;S;
indtræde;NA;V;
indtrække;wheel;V;
indvendig;NA;A;
indvirke;NA;V;
indvise;NA;V;
indvortes;NA;A;
indvælde;NA;V;
indvaaner;NA;S;
ingefær;flower;S;
irisk;bird;S;
irre;NA;V;
isben;NA;S;
ise;anchor;V;1
isen-;NA;PRÆ;
isenkram;"han;ele;våb";S;
isige;NA;V;
isop;flower;S;
ister;NA;S;
iver;psy;S;
ivre;psy;V;
ivrig;psy;A;
jabroder;NA;S;
jage;"zoo;jag";V;
jagt;jag;S;
jagte;NA;V;
jaherre;NA;S;
jakke;tøj;S;
jammer;comet;S;
jammerdal;NA;S;
jammerlig;NA;A;
jamre;NA;V;
jan;"anchor;bird;spades";PRO;1
jennik;NA;S;
jo;NA;I;
jodut;NA;I;
jolle;anchor;S;
jomfru;"sex;asl;bot;erh;mad";S;
jorde;NA;S;1
jordrøg;flower;S;
junge;NA;S;
jungelin;NA;S;
junker;his;S;
juvelér;NA;S;
jæger;"jag;etn;mil";S;
jægt;NA;S;
jærnurt;NA;S;
jøde;NA;S;
jøkel;NA;S;1
kabe;anchor;S;
kabel;"anchor;wheel";S;
kabeltegn;anchor;S;
kabys;ski;S;
kag;NA;S;
kagle;NA;V;
kahyt;anchor;S;
kakke;NA;V;1
kakkel;ark;S;
kalde;spades;V;
kalent;NA;S;
kalk;NA;S;
kalkun;zoo;S;
kalkunsk;NA;A;
kallun;NA;S;
kalvedans;NA;S;
kammerdug;NA;S;
kamp;"mil;spo;erh";S;
kane;NA;S;1
kanel;NA;S;
kanin;"zoo;spo";S;
kans;NA;S;
kant;anchor;S;
kanut;NA;S;
kape;NA;V;
kapel;NA;S;
kappe;"swords;anchor";S;
kappe;;V;
kapperøllike;NA;S;
kaprun;NA;S;
kapun;NA;S;
kapune;NA;V;
kapunere;NA;V;
karavel;anchor;S;
karde;wheel;S;
karde;;V;
kardus;swords;S;
karnap;NA;S;
karpe;zoo;S;
karpe;;S;
karre;swords;S;
karrig;psy;A;
karse;"bot;mad";S;
karsk;NA;A;
karte;håa;S;
karte;;V;
kartove;NA;S;
karusse;zoo;S;
karve;NA;S;
karve;;V;
kastel;swords;S;
kat;"spades;swords;wheel;anchor";S;
kavent;NA;S;
kavl;NA;S;
kedelhat;NA;S;
kegel;NA;S;1
kegle;"mat;trf;spi;typ";S;
kejle;NA;S;
kejse;NA;V;
kejser;fish;S;
kel;NA;S;
kende;NA;S;
kermesse;NA;S;1
kerne;NA;V;1
kersej;NA;S;1
kerte;NA;S;
ketsjer;NA;S;1
kige;NA;V;V
kigge;NA;V;
kighoste;NA;S;1
kikkert;NA;S;
kikkert;;S;
kile;"hån;tøj";S;
kile;;V;
kim;"bot;bio";S;
kiming;søf;S;
kimme;NA;S;
kimme;;V;
kimmer;NA;S;
kin;NA;S;
kindbakke;zoo;S;
kinke;NA;S;
kip;byt;S;
kipe;NA;S;
kippe;;S;
kippe;mad;S;
kippe;;V;
kipper;NA;S;
kirsebær;bot;S;
kirsej;NA;S;
kiste;"mercury;anchor";S;
kits;NA;S;1
kiv;NA;S;
kivagtig;NA;A;
kive;comet;V;
kives;kom;V;
klage;NA;S;
klage;;V;
klakke;NA;V;
klam;nat;A;
klamme;"spr;tek";S;
klang;NA;S;
klank;NA;S;
klap;ana;S;
klapholt;NA;S;
klappe;"anchor;spades";S;
klappebænk;NA;S;
klar;"opt;kom";A;
klaret;NA;S;
klarlig;NA;A;
klat;"zoo;spo";S;
klatre;bot;V;
klatte;NA;V;
klaus;bird;PRO;1
klave;NA;V;1
klavre;NA;V;
klejn;comet;A;
klejne;NA;S;
klejnsmed;sme;S;
klemme;NA;V;
klenodie;NA;S;
kleppert;NA;S;
kleresi;NA;S;
klerk;NA;S;
klid;gas;S;
klik;NA;S;
klimme;NA;V;
klinge;"aku;msk;spr";V;
klinke;byg;S;
klinke;;S;
klinke;;V;
klint;gel;S;
klippe;gel;S;
klipping;NA;S;
klister;NA;S;
klistre;NA;V;
klo;"wheel;anchor;flower";S;
klod;anchor;S;
klode;"ast;ana";S;
klods;NA;S;
klog;NA;A;
klogelig;NA;A;
kloghed;NA;S;
klokke;flower;S;1
klokkeknevl;NA;S;
klokker;NA;S;
klokkespise;NA;S;
klokkestund;NA;S;
kloppe;wheel;;
kloster;NA;S;
klov;NA;S;
klovert;NA;S;
kludre;NA;V;
klukke;NA;V;
klump;NA;S;
klus;NA;S;
klyne;NA;S;
klys;anchor;S;
klyver;anchor;S;
klæbber;NA;S;
klæbe;NA;V;
klæde;anchor;S;1
klække;NA;V;
kløft;"gel;ana";S;
kløgtig;NA;A;
kløver;bot;S;
knabe;NA;S;
kneb;NA;S;
knebel;sme;S;
knede;NA;V;1
kneje;NA;V;
knevel;NA;S;
knibe;NA;S;
knibe;;V;
knibsk;NA;A;
knibtang;wheel;S;
kniple;håa;V;
knipling;NA;S;
knippel;"pot;våb";S;
knirske;NA;V;
knistre;NA;V;
kniv;"spades;wheel";S;
knob;"søf;mål";S;
knoge;NA;S;
knogle;ana;S;
knogleknokkel;NA;S;
knop;NA;S;
knot;NA;S;
knytte;NA;V;1
knægt;spi;S;
knæk;NA;S;
knæle;swords;V;1
knæler;NA;S;
knæling;NA;S;
kobbel;music;S;
kobber;anchor;S;
kobberrøg;NA;S;
koble;"tek;ele;fam;fri;tra";V;
koble;;V;
kodde;NA;S;1
kode;NA;S;
koffardi;søf;S;
kofilnagle;anchor;S;1
kog;NA;S;
koge;NA;V;
kogge;skb;S;
kogger;"anchor;swords";S;
kogle;NA;V;
kogler;NA;S;
kok;NA;S;
kol;NA;S;
kolbe;"swords;anchor;wheel";S;
kolde;NA;S;
koldskaal;NA;S;
kolhætte;NA;S;1
kolv;swords;S;1
komme;NA;S;1
kommen;flower;S;
kompan;NA;S;
komst;NA;S;
konfiture;mercury;S;1
kontrafeje;NA;V;
kop;"bol;mur";S;
koppe;NA;V;
korde;NA;S;
kordel;anchor;S;
kordel;;S;
korduan;NA;S;
korn;swords;S;
kors;comet;S;
kort;"mat;tøj;kom";S;
korte;anchor;V;
kortelig;NA;A;
kortvil;NA;S;
kost;NA;S;
kostbar;NA;A;
koste;NA;V;
kostelig;NA;A;
kove;NA;S;
kovs;NA;S;
kovs;;S;
kovsken;NA;S;
krabbe;anchor;S;1
krable;NA;V;
kradse;mercury;V;
kraftig;NA;A;
kraftkirke;NA;S;
krage;NA;V;
kragejolle;skb;S;
krakel;NA;S;
krakmandel;NA;S;
kram;NA;S;
krammeri;NA;S;
kramp;NA;S;1
krampe;med;S;
krampe;;S;
kran;"tek;sun";S;
krank;NA;A;
krankelig;NA;A;
krans;bot;S;
krave;tøj;S;
kravel;anchor;S;
kreds;NA;S;
kreje;NA;V;
krejert;NA;S;
kride;NA;S;
kridt;"gel;und;øko";S;
kridte;NA;V;
krig;"mil;spi;rel;pol";S;
krige;NA;V;
kring;NA;S;1
kriske;NA;V;
kristen;NA;S;
kro;gas;S;
kroer;NA;S;
kroerske;NA;S;
krofader;NA;S;
krone;"ban;øko;kon;bot;tan;ska";S;
krone;;V;
kronne;NA;V;
krop;wheel;S;
krud;NA;S;
krudt;"våb;mil";S;
krukke;bol;S;
krum;"fys;ana";A;
krumhalset;NA;A;
krumholt;ski;S;
krumkage;NA;S;
krumme;bag;S;
krumme;;S;
krumme;;V;
krus;"bol;drk";S;
krusbær;NA;S;
kruse;frs;S;
kruse;;V;
krusemynte;flower;S;
krutte;NA;V;1
krybbe;lan;S;
krybe;spades;V;1
krydde;NA;S;
krydder;"bag;ana;tek";S;
krydderbrød;NA;S;
krydderi;gas;S;
kryde;NA;V;
kryds;"music;plus;swords;anchor";S;
krydse;"anchor;wheel;mercury";V;
krydsurt;NA;S;
krykke;"wheel;swords;anchor";S;1
krympe;wheel;V;
kræft;med;S;
kræftig;NA;A;
kræge;bot;S;
kræmmer;han;S;
kræmmerhus;anchor;S;
kræmmeri;NA;S;
krænke;"psy;sex;jur";V;
krøbel;NA;S;
krøgle;NA;S;
krøgle;;V;
krøje;NA;S;
krøje;;V;
krølle;"ana;spo";S;
krølle;;V;
krønike;NA;S;
krøs;NA;S;
krøse;NA;V;1
kraas;NA;S;1
kråse;zoo;S;
kube;lan;S;
kuf;skb;S;
kulde;NA;S;
kule;lan;S;
kule;;S;
kulegraver;NA;S;
kuller;NA;S;
kulret;NA;A;
kumme;NA;S;
kummer;psy;S;
kummerlig;øko;A;
kumpan;NA;S;
kund;NA;A;1
kundskab;NA;S;
kundskabe;NA;V;
kundskaber;NA;S;
kunst;"kun;vid";S;
kunstelig;NA;A;
kunster;NA;S;
kunstig;NA;A;
kunstner;"kun;kul";S;
kur;NA;S;
kure;NA;S;
kure;;S;
kure;;V;
kuretaarn;NA;S;
kurv;"fri;han;bot;spo";S;
kuvert;NA;S;
kvabbe;"fish;anchor";S;
kvabbe;;V;
kvakke;NA;V;1
kvale;NA;V;
kvalm;kom;S;
kvalster;NA;S;
kvansvis;NA;S;
kvant;NA;S;
kvarter;"anchor;swords";S;
kvase;NA;S;
kvase;;V;
kvast;NA;S;
kvater;NA;S;
kvemmelig;NA;A;
kvik;NA;A;
kvikstjært;bird;S;
kviksølv;NA;S;
kvinkelere;NA;V;
kvint;NA;S;
kvintin;NA;S;
kvit;comet;A;
kvitte;NA;V;
kvittebrev;NA;S;
kvittere;fyo;V;
kvoppe;NA;V;
kvæde;bot;S;
kvæg;NA;S;
kvæge;NA;V;
kvær;comet;A;
kværk;anchor;S;1
kvæste;"med;psy";V;
kymig;NA;A;
kyndig;NA;A;
kyrbis;NA;S;
kyse;NA;V;1
kysk;sex;A;
kyssel;NA;S;
kyssen;NA;S;1
kytte;NA;V;
kæbe;"ana;hån";S;
kæde;"han;kem;dan;spo;håa";S;
kæk;NA;A;
kælderhals;flower;S;
kæmler;NA;S;
kæmner;oad;S;
kæmpe;NA;S;
kæmpe;;V;
kæmper;NA;S;
kærve;NA;V;
kætter;rel;S;
kævle;NA;V;
københavn;flower;S;1
købing;NA;S;1
købmandskab;spades;S;
købslag;NA;S;
købslaa;NA;V;
købstad;NA;S;
køgemester;NA;S;
køje;anchor;S;
køkerske;NA;S;
køkken;NA;S;
køkkenmester;NA;S;
køl;anchor;S;1
kølnsk;NA;A;
køn;NA;A;1
kønrøg;hån;S;
køre;NA;V;
kørsener;NA;S;
kørvel;bot;S;
køter;NA;S;
kaa;bird;S;
kaad;NA;A;
kaadner;NA;S;
kaar;NA;S;1
kårde;NA;S;
kaarde;NA;S;1
kaare;NA;V;1
kaas;anchor;S;
labe;NA;V;1
lade;NA;S;
lade;;S;
lage;NA;S;
lagen;NA;S;
lager;wheel;S;
lak;NA;S;
lakhed;NA;S;
lakrids;flower;S;
laktuk;flower;S;
lampe;"bol;tek";S;
land;"quad;anchor";S;
landfaring;NA;S;
landløbere;NA;S;
landskab;NA;S;
landsaat;NA;S;
langagt;NA;A;1
langagtig;NA;A;
lange;soc;S;
lange;;V;
langhilde;NA;S;
langs;NA;ADV;
langsom;fot;A;
langsommelig;NA;A;
langvarig;NA;A;
langvogn;NA;S;
lappe;NA;V;
lapperi;NA;S;
laps;NA;S;
las;NA;S;
last;"tra;ski";S;
laste;anchor;V;
lasttold;NA;S;
latte;anchor;S;
lav;anchor;S;
lave;NA;S;
lavere;"anchor;mercury;spades";V;
le;NA;S;
led;"comet;anchor";S;1
ledehund;NA;S;
ledig;NA;A;
leding;NA;S;
ledsage;mercury;V;
ledsager;NA;S;
leg;NA;S;1
legeme;NA;S;
legenhed;NA;S;
lejd;NA;S;
lejde;NA;S;
lejdebrev;anchor;S;
lejder;anchor;S;
leje;NA;S;
lejle;NA;S;
lejlig;NA;A;
lejlighed;bol;S;
lejr;NA;S;
lejre;NA;V;
lektie;NA;S;
lemmike;flower;S;
lempe;NA;S;
lempe;;V;
lempelig;NA;A;
len;"his;sam";S;
lening;NA;S;
lente;NA;V;
letfærdig;NA;A;
lette;"fys;nat;kri;met;zoo;hel";V;
lev;NA;A;
levere;"mercury;swords";V;
levre;NA;V;
li;NA;S;1
lide;NA;V;
lidelig;NA;A;
lidkøb;NA;S;
liflig;NA;A;
lig;anchor;S;1
lige;NA;A;1
ligedeler;NA;S;
ligervis;NA;ADV;
ligevel;NA;ADV;
ligne;NA;V;
lignelse;NA;S;
ligtorn;NA;S;
likke;NA;V;
likker;NA;S;
limstang;NA;S;
linde;NA;S;1
linned;NA;S;
lire;fish;S;
lire;;V;
lirekasse;msk;S;
lispe;NA;V;1
lispund;mål;S;
liste;NA;V;
livagtig;NA;A;
livgeding;NA;S;
livsalig;NA;A;
lo;NA;S;
lod;"comet;swords;anchor";S;
lodde;anchor;V;
lodde;;V;
lodsmand;fish;S;
loft;NA;S;1
lorje;anchor;S;1
lort;NA;S;1
los;zoo;S;
lose;NA;S;
losse;anchor;V;
lov;NA;S;
love;NA;S;
love;;V;
loven;NA;S;
lubbe;fish;S;
luder;swords;S;
luft;"met;ana;kem;rad;fly";S;
luge;hav;S;
luge;;V;
lugt;kem;S;
lulle;NA;V;
lune;NA;S;
lunge;NA;S;1
lunstikke;NA;S;
lunte;kem;S;
lunte;;V;
lunte;;V;
lure;NA;V;
luske;NA;V;
lut;msk;S;
lutre;"mtl;psy";V;
lutter;NA;A;
luv;anchor;S;
lybsk;mercury;A;
lyd;NA;S;1
