lemma;tags;ordklasse
bekvemmelig;NA;A
bekymmer;comet;S
bekymre;psy;V
bekymring;NA;S
bekyndige;NA;V
bekøbe;NA;V
belade;NA;V
belag;NA;S
belange;NA;V
belaste;"øko;fys";V
bele;NA;V
belejlig;NA;A
belejre;mil;V
belemre;NA;V
beleve;NA;V
beleven;NA;A
beligge;NA;V
belob;NA;S
belove;NA;V
belykke;NA;V
belyve;NA;V
belægge;"swords;anchor";V
belære;NA;V
beløbe;NA;V
belønne;NA;V
bemande;anchor;V
bemantle;NA;V
bemure;NA;V
bemægtige;NA;V
bemøde;NA;V
bemøje;NA;V
benove;NA;V
benægte;NA;V
benøje;NA;V
benåde;kri;V
beordre;scl;V
beplante;NA;V
bepligte;NA;V
beram;NA;S
beramme;jur;V
berede;"kom;psy";V
beredt;NA;A
berende;"swords;comet";V
berette;kom;V
berggeselle;NA;S
beride;NA;V
berige;øko;V
beringe;"swords;comet";V
berme;swords;S
bernsten;NA;S
bertram;flower;S
berygte;NA;V
berøm;comet;S
berømme;NA;V
berøre;"fyo;psy;kom";V
berøve;"kri;psy";V
beråbe;kom;V
beråd;NA;S
beråde;NA;V
besat;NA;A
bese;NA;V
besegle;NA;V
besejle;søf;V
besidde;NA;V
besige;NA;V
besigtige;NA;V
besinde;NA;V
beskadige;mercury;V
beskaffe;NA;V
beskaffen;NA;A
beskanse;NA;V
beskatte;ska;V
besked;"kom;edb";S
beskeden;NA;A
beskedenlig;NA;A
beskide;NA;V
beskidt;"hyg;kri";A
beskikke;"oad;jur";V
beskrive;kom;V
beskudding;NA;S
beskue;NA;V
beskyde;våb;V
beskyt;NA;S
beskytte;jur;V
beskænke;nyd;V
beskære;"øko;bot;fot";V
beskærme;NA;V
beslag;NA;S
beslutte;NA;V
beslægtet;music;A
beslægtiget;NA;A
beslå;sme;V
besmitte;"rel;sex";V
besnilde;NA;V
besolde;NA;V
bespare;NA;V
bespejde;NA;V
bespise;gas;V
bespy;NA;V
bespænde;swords;V
bespørge;NA;V
bestand;NA;S
bestandig;NA;A
bestede;comet;V
bestemme;anchor;V
bestige;zoo;V
bestikke;jur;V
bestille;erh;V
bestilling;NA;S
bestolde;NA;V
bestride;"jur;erh;øko";V
bestrikke;NA;V
bestryge;mil;V
bestyre;NA;V
bestå;NA;V
besvige;NA;V
besvime;fyo;V
besvær;comet;S
besvære;NA;V
besværge;rel;V
besynderlig;NA;A
besætte;"mil;pol;rel";V
besøge;NA;V
besøle;NA;V
besørge;zoo;V
betage;psy;V
betakke;kom;V
betale;øko;V
betegne;"spr;kom";V
betids;NA;ADV
betinge;med;V
betragte;NA;V
betro;NA;V
betryk;NA;S
betrykke;NA;V
betræde;comet;V
betrænge;NA;V
betrængt;soc;A
betuttet;psy;A
betvinge;NA;V
betyde;spr;V
betække;NA;V
betænke;psy;V
betænkelig;NA;A
bevandre;NA;V
bevant;NA;A
bevare;"rel;ark";V
bevende;comet;V
bevilge;øko;V
bevilling;NA;S
bevise;jur;V
bevislig;NA;A
bevæge;psy;V
bevægelig;NA;A
bevågen;NA;A
bi;anchor;ADV
bibel;NA;S
bifalde;psy;V
bigat;anchor;S
bigtpenge;NA;S
bikke;wheel;S
bikkel;NA;S
bil;"wheel;anchor";S
billede;spades;S
billig;"øko;sex";A
bindike;NA;S
bindsel;anchor;S
bindt;NA;S
bindøkse;wheel;S
birk;NA;S
bislag;ark;S
bislopperske;NA;S
bismer;fsk;S
bismervægt;fsk;S
bisse;NA;V
bistand;soc;S
bister;psy;A
bisterlig;NA;A
bistre;NA;V
bistå;"øko;kom";V
bit;NA;S
bitte;mål;S
bitter;NA;A
bitterlig;NA;A
blabre;NA;V
blank;"opt;fsk;typ;mil";A
blege;fish;V
blegne;"ana;med";V
bles;NA;S
blide;NA;S
blik;mtl;S
blik;NA;S
blikke;"wheel;comet";V
blinke;NA;V
blive;"spr;øko";V
blixen;NA;S
blok;"gel;hån;byg;pap;pol;frm;tek";S
blokke;NA;V
blomme;bot;S
blot;NA;A
blotte;swords;V
blus;anchor;S
bly;NA;S
blyant;NA;S
blyglætte;NA;S
blæne;med;S
blænker;mil;S
blødelse;NA;V
boble;NA;S
bodfærdig;rel;A
bog;bot;S
bogfinke;zoo;S
boghvede;bot;S
bol;NA;S
bold;NA;A
bole;sex;S
bole;NA;V
bolle;NA;V
bolskab;NA;S
bolt;anchor;S
bolt;HÅN;S
bolværk;hvn;S
bom;"trf;spo;ski";S
bommesi;NA;S
bomolie;NA;S
bomuld;NA;S
bone;NA;V
bopæl;NA;S
borde;søf;V
borg;NA;S
borge;NA;V
borgeleje;comet;S
borger;NA;S
borgerskab;anchor;S
borgerske;NA;S
borgmester;"pol;oad";S
bort;NA;S
boulevard;trf;S
boveri;NA;S
bovspryd;ski;S
brad;NA;S
bradbænk;anchor;S
brade;NA;V
bradspid;NA;S
brage;NA;S
brage;NA;V
brak;NA;A
bram;NA;S
bras;NA;S
brase;NA;V
brase;NA;S
brasen;fish;S
brask;NA;S
braske;NA;V
brasse;NA;V
bregne;flower;S
bremse;aut;S
brik;NA;S
briks;anchor;S
brille;"wheel;anchor;swords";V
bringe;kom;V
brink;swords;S
brise;met;S
brist;NA;S
brok;med;S
brokfugl;zoo;S
brombær;flower;S
brosme;fish;S
brovte;kom;V
brug;NA;S
bruge;NA;V
brum;NA;S
brumle;NA;V
brumme;spr;V
brunere;NA;V
bruse;hav;V
bry;NA;S
bryde;NA;V
bræk;NA;S
brække;"med;hån";V
brækkelig;NA;A
bræmme;NA;S
bræmme;NA;V
brændevin;drk;S
bræt;"tøm;spi;bol;tea";S
brøde;NA;S
brødsukker;NA;S
brøstfældig;ark;A
buddike;bot;S
bue;NA;V
bugbid;NA;S
bugspryd;"comet;anchor";S
bugt;geg;S
bukke;ana;V
buksbom;flower;S
bukse;NA;S
bulder;NA;S
buldre;NA;V
bule;fyo;S
bumester;NA;S
bundt;"music;swords";S
buntmager;skr;S
burde;NA;V
bursk;NA;A
bursprog;comet;S
bussemand;hyg;S
busseskib;comet;S
bydle;NA;V
byge;NA;V
bylt;NA;S
bynne;NA;S
byse;NA;S
bytte;zoo;S
bytte;NA;V
bægt;NA;S
