lemma;tags;ordklasse
dudendop;SAM;S
dug;HUS;S
dugt;SØF;S
dukke;HUS;S
dumrian;SAM;S
dunder;VER;S
dunk;HÅN;S
dunst;SAN;S
dup;HÅN;S
durik;FAU;S
dus;SAM;S
dusin;KVA;S
dvaledrik;GAS;S
dvælg;SØF;S
dvælg;HUS;S
dyring;TID;S
dyst;MIL;S
dyvel;HÅN;S
dække;HUS;S
dæksel;HÅN;S
dæle;HÅN;S
dødike;HÅN;S
dødslag;HAN;S
dørk;SØF;S
dørns;HUS;S
dørslag;HUS;S
dåb;REL;S
dåre;SAM;S
dårekiste;SAM;S
ebbe;VER;S
eddike;GAS;S
efterretning;SPR;S
ege;SØF;S
egt;KRO;S
ejendom;JUR;S
ejland;VER;S
elende;FØL;S
elfenben;HÅN;S
elm;FLO;S
embedsmand;SAM;S
endesked;SAM;S
endragt;SAM;S
enhjørning;FLO;S
enke;SLÆ;S
enspænder;SAM;S
es;KVA;S
es;FØL;S
eskadre;SØF;S
esping;SØF;S
esse;HUS;S
etmål;SØF;S
eventyr;HAN;S
evert;SØF;S
façon;HAN;S
fadder;REL;S
fadderskab;REL;S
fadderske;REL;S
fading;HÅN;S
fagte;HAN;S
faldbom;MIL;S
falk;FAU;S
falkeleje;FAU;S
falkoner;FAU;S
falkonet;SØF;S
fals;HAN;S
falsk;HAN;S
falskner;SAM;S
fane;MIL;S
fange;MIL;S
fangst;FAU;S
fanke;FLO;S
fant;SAM;S
fare;FØL;S
farebog;REL;S
farlighed;FØL;S
farsot;KRO;S
fart;BEV;S
fartøj;SØF;S
farve;HÅN;S
farvelade;MUS;S
farver;HÅN;S
fastelavn;REL;S
feber;KRO;S
fedel;MUS;S
fedtegrever;GAS;S
fejde;MIL;S
fejefyr;REL;S
fejl;HAN;S
felt;VER;S
fenne;VER;S
fennikel;FLO;S
ferdendel;KVA;S
fernis;HÅN;S
fetalje;GAS;S
fetaljebroder;SAM;S
fibel;HUS;S
figen;FLO;S
fikke;BEK;S
fil;HÅN;S
filt;HÅN;S
finke;FAU;S
finkeljokum;GAS;S
finker;GAS;S
finne;FAU;S
finne;FAU;S
fiol;MUS;S
firk;BES;S
fistel;KRO;S
fjas;HAN;S
fjerdendel;KVA;S
fjældfras;FAU;S
fjæs;HAN;S
flab;KRO;S
flagermus;FAU;S
flagspætte;FAU;S
fled;SAM;S
flid;HAN;S
flint;VER;S
flintsten;VER;S
flise;HÅN;S
flitter;HÅN;S
flod;VER;S
flok;HÅN;S
floksilke;BEK;S
flomme;KRO;S
flos;BEK;S
flugt;MIL;S
flæb;KRO;S
flække;SAM;S
fløj;"FAU;MIL;SAM";S
fløjl;BEK;S
fløjte;MUS;S
fløjte;SØF;S
flåd;HAN;S
fod;KRO;S
foder;HÅN;S
fodgænger;SAM;S
foermand;SAM;S
foerværk;HÅN;S
foged;JUR;S
fogedi;JUR;S
fok;SØF;S
fold;FAU;S
foragt;FØL;S
forbandt;HÅN;S
forbeding;REL;S
forborg;MIL;S
forbud;HAN;S
forbund;SAM;S
fordel;HAN;S
fordrag;JUR;S
fordæk;SØF;S
fordærv;HAN;S
forehavende;HAN;S
forfader;SLÆ;S
forfald;HAN;S
forfang;HAN;S
forgift;GAS;S
forhoved;KRO;S
forhæng;HUS;S
forhøjning;VER;S
forhør;JUR;S
forkastel;SØF;S
forkering;"HAN;SAM";S
forkøb;BES;S
forlag;BES;S
forlis;BES;S
forlisning;BES;S
forlov;JUR;S
forlover;JUR;S
forlust;BES;S
forløb;"TID;RUM";S
form;RUM;S
formue;BES;S
formuenhed;BES;S
formynder;JUR;S
formynderskab;JUR;S
fornotling;JUR;S
fornuft;FØL;S
forord;SPR;S
forpligt;JUR;S
forprang;BES;S
forpæling;MIL;S
forram;HAN;S
forræder;JUR;S
forråd;BES;S
forsigtighed;HAN;S
forskel;KOG;S
forskrift;JUR;S
forskud;"HÅN;BES";S
forsmag;FØL;S
forsmædelse;FØL;S
forspan;BEK;S
forspil;MUS;S
forsprekker;SAM;S
forspøg;HAN;S
forstand;KOG;S
forstander;SAM;S
forstrand;VER;S
forstændighed;KOG;S
forståelse;KOG;S
forsæt;HAN;S
fortgang;BEV;S
fortjeneste;BES;S
fortog;SØF;S
fortog;HAN;S
fortoning;"KOG;SØF";S
fortrin;HAN;S
fortræd;FØL;S
fortøgering;HAN;S
forvantskab;SLÆ;S
forvar;HAN;S
forvorpenhed;HAN;S
foræring;BES;S
forår;TID;S
fourer;"SAM;MIL";S
fragt;SØF;S
fransos;SAM;S
fribytter;MIL;S
frier;SAM;S
frihed;SAM;S
friherre;SAM;S
frille;SLÆ;S
fritte;FAU;S
frokost;GAS;S
fromesse;REL;S
fruentimmer;SAM;S
frugt;FLO;S
frygt;FØL;S
frynt;SLÆ;S
fryntskab;SLÆ;S
frøken;SAM;S
fråds;HAN;S
fugt;VER;S
fuldbord;JUR;S
fuldmagt;JUR;S
fund;HAN;S
fust;VER;S
fusthammer;HÅN;S
fyldest;"JUR;BES";S
fyr;"VER;SØF";S
fyraften;TID;S
fyrbold;MIL;S
fyrbolle;HUS;S
fyrbøder;HÅN;S
fyrighed;FØL;S
fyrste;SAM;S
fyrstinde;SAM;S
fyrtøj;HÅN;S
