boble	
Boble	
bodfærdig	
Bog	
Bogfinke	bird
Boghvede	flower
bokse	
Bol	
bold	
bole	
Bole	
Bolle	
Bolle	wheel
Bolskab	
Bolt	anchor
Bolt	
Bolværk	
Bom	anchor;swords
Bommesi	
Bomolie	
Bomuld	
bone	
Bopæl	
borde	anchor
Borg	
borge	
Borgeleje	comet
Borger	
Borgerskab	anchor
Borgerske	
Borgmester	
Bort	
Boveri	
Brad	
Bradbænk	anchor
brade	
Bradspid	
Brage	
brage	
brage	
brak	
Bras	
Brase	
brase	
Brasen	fish
Brask	
braske	
Bregne	flower
Bremse	
bremse	
Brik	
Briks	anchor
Brille	wheel;anchor;swords
bringe	spades;anchor
Brink	swords
Brist	
Brok	
Brombær	flower
Brosme	fish
Brug	
bruge	comet
Brum	
brumle	
brumme	music
brunere	
bruse	comet
bryde	
Bræk	
brække	anchor;swords
brækkelig	
bræmme	
Bræmme	
Brændevin	
Bræt	
Brøde	
Buddike	
Bugbid	
Bugspryd	comet;anchor
Bugt	anchor
bukke	wheel
Buksbom	flower
Bukse	
Bulder	
buldre	
Bule	
Bule	
Bule	
Bundt	music;swords
Bunke	
Buntmager	
burde	
bursk	
Bursprog	comet
Busseskib	comet
bydle	
byge	
Bylt	
Bynne	
Byse	
Bytte	
bytte	spades
Bægt	
Bækken	
bære	music;anchor;swords
Bærme	
Bæst	
Bæver	
Bævergejl	
Bøddel	spades
Bødker	
Bøffel	
Bøje	swords;anchor
Bøjert	anchor
Bølge	
Bønhas	
bønhase	
Bør	anchor
børlig	
Bøsse	swords
Bøssekrudt	
Bøtte	
Baade	
baade	
Baadsmand	anchor
Baake	anchor
Baare	swords
Celle	anchor;wheel
Daddel	flower
Dagting	comet
dagtinge	
dale	
Damask	
-dan	
Deger	mercury
dejlig	
dejse	anchor
delagtig	
Del	comet
Dele	
dele	comet;swords
desligeste	
Desmer	
desto	
Digegreve	
Digt	
Dirk	
Dise	
Dising	
djærv	
djævelsk	
Dobbe	
Dobbel	
dobbelt	comet;music;swords;anchor
doble	
dog	
dogge	anchor
dol	
Dole	
Dolslag	
Donkraft	wheel
Drabant	
drabelig	
drage	
Drager	
Dragt	
Dranker	
dreje	anchor
Dressel	
driftig	
drille	
driste	comet
dristelig	
dristig	
Drog	
Dromedar	
Dros	
Drossel	bird
Drost	
dru	
Drue	swords
Druebor	wheel
Drukkenbolt	
Dryp	
dryppe	anchor
Dræk	
Dræksjung	comet
drøve	
drøvelig	
Drøvelse	
Dudendop	
Dug	anchor
dugge	
Dugt	
Dukke	wheel
Dunder	
dundre	
Dunst	
Dup	swords;anchor;wheel
Durik	
Dus	spades
Dusin	
dval	
Dvaledrik	
dvas	
Dvælg	anchor
Dvælg	mercury
dygtig	
dyrebar	
dyrelig	
Dyring	
Dyst	
Dæle	
dæmpe	music;anchor
dærve	
Dødike	
Dødslag	
døje	
Dørns	
Dørslag	swords
daaragtig	
Daare	
daare	
Daarekiste	
daarlig	
Ebbe	
ebbe	
Eddike	
edsvoren	
effen	
efterdi	
efterhaanden	
Efterretning	
eftersom	
Ege	
egentlig	
Egt	
Ejendom	
Ejland	
Elende	
elendig	
Elfenben	
Elm	flower;comet
Embedsmand	
Ende	comet;anchor
endelig	music;swords
Endragt	
endrægtig	
ene	
Ene	flower
ene	
Enhjørning	comet;swords
enig	
enke	
enkel	
enlig	
ens	
Enspænder	
entre	anchor
-eri	
erobre	
Es	spades
Eskadre	anchor;swords
Esping	
Esse	comet;s
Etmaal	anchor
even	anchor
Eventyr	
eventyre	
Evert	anchor
evig	
Façon	
Fadder	
Fadderskab	
Fadderske	
fade	
Fading	
Fagte	comet
Falk	bird;swords
Falkeleje	
Falkoner	
Falkonet	
Fals	
Falsk	
falsk	music;wheel
falske	
falskelig	
Falskner	
famle	comet
Fanden	
Fane	swords;music
fange	anchor;wheel
Fange	
fangen	
Fanke	
Fant	
Farebog	
Fare	
farlig	
Farlighed	
Farsot	
Fart	anchor
farve	
Farve	mercury;spades
Farver	
Fastelavn	
fatte	swords
Feber	
Fedel	music
Fejde	
fejde	comet
feje	
Fejefyr	
fejl	anchor
Fejl	
fejre	
fejt	
Felt	
Fenne	
Fennikel	flower
Fernis	
fernisere	
fersk	wheel
ferske	wheel
Fetaljebroder	
Fetalje	
Fibel	
Figen	flower
Fikke	
Fil	
file	anchor
Filt	mercury
fimre	
Finke	bird
Finkeljokum	
Finker	
Finne	
Finne	
Fiol	music
fire	anchor
Firk	spades
Fjas	
Fjældfras	
Fjæs	
Flab	
Flage	
Flagermus	flower
Flagspætte	bird
flak	anchor
flamsk	
Fled	
Flid	
Flint	
Flintsten	
Flise	fish
Flitter	mercury
flittig	flower
Flod	
Flok	
Flomme	comet
florere	
Flos	
Flugt	swords
fluks	
flunke	
fly	
flygte	
flygtig	swords
Flæb	
Flæk	
Fløj	swords;wheel
Fløjl	
Fløjte	music
Flaad	comet
Fod	comet;swords
Foder	
Fodgænger	
fodre	anchor
Foermand	
Foerværk	
Foged	
Fogedi	
Fok	anchor
Fold	
-foldig	comet
for-	
Foragt	
foragte	
forandre	anchor
forarbejde	
forarge	
forbande	
forbarme	
forbavse	
forbede	
forbedre	
forbeholde	mercury
forberge	
forbi	
forbie	
forbinde	
forbistre	
forbitre	
forblinde	
forblive	mercury
forblomme	
