"";"lemma";"tags";"ordklasse"
"168";"vesselhorn";"MIL";"S"
"169";"vildbrad";"MIL;GAS";"S"
"170";"vildt";"DYR;MIL";"S"
"171";"vindearmbrøst";"MIL";"S"
"172";"vold";"MIL;VER";"S"
"173";"væbner";"MIL";"S"
"174";"vægter";"MIL;SAM";"S"
"175";"værge";"MIL;BES";"S"
"176";"våbenhus";"MIL;REL";"S"
"177";"våbentøg";"MIL";"S"
"178";"ørs";"DYR;MIL";"S"
