"";"lemma";"tags";"ordklasse"
"170";"takkel";"SØF";"S"
"171";"told";"SØF";"S"
"172";"trisse";"HÅN;SØF";"S"
"173";"trosse";"SØF";"S"
"174";"tudehorn";"SAM;SØF";"S"
"175";"tugtemester";"SAM;SØF";"S"
"176";"tømmermand";"HÅN;SØF;DYR";"S"
"177";"undergang";"BEV;HAN;SØF;VER";"S"
"178";"vagt";"HAN;TID;MIL;SØF";"S"
"179";"val";"SØF";"S"
"180";"vant";"SØF";"S"
"181";"varp";"HAN;SØF;HÅN;VER";"S"
"182";"vaterspil";"SØF";"S"
"183";"vindfang";"HÅN;SØF;VER;HUS;BEK";"S"
"184";"vinterlag";"SØF;BES";"S"
"185";"vurst";"SØF";"S"
"186";"værft";"VER;SØF";"S"
"187";"våg";"VER;SØF";"S"
"188";"våge";"VER;SØF";"S"
"189";"æver";"SØF";"S"
