"";"lemma";"tags";"ordklasse"
"178";"utøj";"FAU";"S"
"179";"vagtel";"FAU";"S"
"180";"vandkalv";"FAU";"S"
"181";"varulv";"SAM;FAU";"S"
"182";"vejdeværk";"FAU";"S"
"183";"vildt";"FAU;MIL";"S"
"184";"vildtværk";"FAU;HÅN";"S"
"185";"vise";"FAU";"S"
"186";"vivel";"FAU";"S"
"187";"vragfisk";"FAU";"S"
"188";"værk";"FAU";"S"
"189";"æsel";"FAU";"S"
"190";"ørs";"FAU;MIL";"S"
"191";"ås";"FAU";"S"
