"";"lemma";"tags";"ordklasse"
"173";"stade";"SAM;HAN;HUS";"S"
"174";"stads";"HAN;BEK;FØL";"S"
"175";"stalding";"HAN";"S"
"176";"stampe";"HAN;FØL";"S"
"177";"stands";"HAN";"S"
"178";"stik";"HAN";"S"
"179";"stilling";"HAN";"S"
"180";"stilling";"HAN";"S"
"181";"stim";"HAN;KVA";"S"
"182";"stjernekiger";"HAN";"S"
"183";"stolgang";"HAN";"S"
"184";"strid";"HAN;MIL";"S"
"185";"strunt";"HAN;DYR";"S"
"186";"styr";"SAM;HAN;SØF";"S"
"187";"stød";"HAN;FØL;TID";"S"
"188";"støvning";"HAN";"S"
"189";"surseende";"HAN;FØL";"S"
"190";"svenk";"HAN";"S"
"191";"svimeslag";"HAN";"S"
"192";"tant";"HUS;HAN;SPR;FØL";"S"
"193";"tidkorting";"HAN";"S"
"194";"tidsfordriv";"HAN";"S"
"195";"tilfælde";"HAN";"S"
"196";"tilfør";"HAN";"S"
"197";"tilhold";"HAN";"S"
"198";"tilkomst";"HAN";"S"
"199";"tugt";"HAN;FØL";"S"
"200";"tuskeri";"HAN";"S"
"201";"tvedragt";"HAN";"S"
"202";"tvedragtighed";"HAN";"S"
"203";"tvist";"HAN;JUR";"S"
"204";"tyveri";"HAN";"S"
"205";"udgift";"HAN;BES";"S"
"206";"udkejsning";"HAN";"S"
"207";"udstyrtning";"HAN";"S"
"208";"udtog";"HAN;BEV";"S"
"209";"udvisning";"HAN;JUR";"S"
"210";"uflid";"HAN";"S"
"211";"uføje";"HAN";"S"
"212";"uhørsomme";"HAN";"S"
"213";"uledighed";"HAN";"S"
"214";"ulempe";"JUR;HAN";"S"
"215";"ulykke";"FØL;HAN;REL";"S"
"216";"umage";"HAN";"S"
"217";"undergang";"BEV;HAN;SØF;VER";"S"
"218";"underhold";"HAN";"S"
"219";"underholdning";"HAN";"S"
"220";"underslag";"BEV;HAN;HÅN";"S"
"221";"upligt";"HAN;JUR";"S"
"222";"uråd";"HAN";"S"
"223";"vagt";"HAN;TID;MIL;SØF";"S"
"224";"vandel";"BES;HAN";"S"
"225";"vandring";"HAN;BEV";"S"
"226";"vare";"HAN;SPR;KOG";"S"
"227";"varp";"HAN;SØF;HÅN;VER";"S"
"228";"vartavl";"HAN";"S"
