"";"lemma";"tags";"ordklasse"
"179";"mejerske";"SAM";"S"
"180";"menig";"SAM";"S"
"181";"menneske";"SAM";"S"
"182";"mester";"SAM";"S"
"183";"mestermand";"SAM";"S"
"184";"mesterskab";"SAM";"S"
"185";"middel";"BES;SAM;RUM";"S"
"186";"midler";"SAM";"S"
"187";"mode";"SAM";"S"
"188";"morian";"SAM";"S"
"189";"mundskænk";"SAM";"S"
"190";"mælkemund";"SAM";"S"
"191";"naboerske";"SAM";"S"
"192";"nar";"SAM";"S"
"193";"nødhjælper";"SAM";"S"
"194";"nødstald";"SAM";"S"
"195";"oldermand";"SAM";"S"
"196";"ophæver";"SAM;HÅN";"S"
"197";"oprør";"SAM;VER";"S"
"198";"opsidder";"SAM";"S"
"199";"orden";"KOG;SAM";"S"
"200";"ordning";"SAM";"S"
"201";"overdådighed";"SAM";"S"
"202";"overherre";"SAM";"S"
"203";"ovrighed";"SAM";"S"
"204";"palads";"SAM";"S"
"205";"paladsgreve";"SAM";"S"
"206";"pardel";"SAM";"S"
"207";"parlament";"SAM";"S"
"208";"part";"SAM;JUR";"S"
"209";"parti";"SAM;KVA;JUR";"S"
"210";"pas";"SAM;BEV";"S"
"211";"patrone";"SAM";"S"
"212";"paulun";"SAM";"S"
"213";"pebling";"SAM";"S"
"214";"perk";"SAM";"S"
"215";"persone";"SAM";"S"
"216";"pfalzgreve";"SAM";"S"
"217";"pirris";"SAM";"S"
"218";"plads";"SAM;VER";"S"
"219";"plattenslager";"HÅN;SAM";"S"
"220";"pligt";"SAM;FØL";"S"
"221";"plogskat";"SAM";"S"
"222";"port";"SAM;HUS";"S"
"223";"porthus";"SAM";"S"
"224";"portner";"SAM";"S"
"225";"prakker";"SAM";"S"
"226";"prakkerfoged";"SAM";"S"
"227";"praktik";"SAM;HAN";"S"
"228";"prange";"HAN;BES;SAM";"S"
"229";"present";"SAM";"S"
"230";"prunk";"SAM";"S"
"231";"prøve";"HAN;SAM";"S"
"232";"pukkere";"SAM";"S"
"233";"pulteri";"SAM";"S"
"234";"rad";"SAM";"S"
"235";"rak";"SAM";"S"
"236";"raskop";"SAM";"S"
"237";"re";"HAN;SAM";"S"
"238";"regerer";"SAM";"S"
"239";"regimente";"SAM";"S"
"240";"rejsner";"SAM;MIL";"S"
"241";"rendebane";"SAM";"S"
"242";"rendesten";"SAM;SØF";"S"
"243";"rentemester";"SAM";"S"
"244";"rentener";"SAM";"S"
"245";"retfærdighed";"HAN;SAM";"S"
"246";"rettesnor";"HÅN;SAM";"S"
"247";"ribalde";"SAM";"S"
"248";"ridder";"SAM;MIL";"S"
"249";"ridderskab";"HAN;SAM;MIL";"S"
"250";"riddersmand";"SAM;MIL";"S"
"251";"rode";"SAM;MIL";"S"
"252";"rodemester";"SAM;MIL";"S"
"253";"ruffer";"SAM";"S"
"254";"rufferske";"SAM";"S"
"255";"rulle";"HÅN;SAM";"S"
"256";"røver";"SAM";"S"
"257";"rådhus";"SAM";"S"
"258";"rådsfrue";"SAM";"S"
"259";"rådslag";"KOG;SAM;SPR";"S"
"260";"rådstol";"SAM";"S"
"261";"schartek";"SAM";"S"
"262";"schout";"SAM";"S"
"263";"seddel";"BES;SAM";"S"
"264";"segl";"SAM;JUR";"S"
"265";"selle";"SAM;HÅN";"S"
"266";"selskab";"SAM";"S"
"267";"sisebod";"SAM";"S"
"268";"skaffer";"SAM";"S"
"269";"skalk";"SAM";"S"
"270";"skamper";"SAM";"S"
"271";"skare";"SAM";"S"
"272";"skarn";"SAM";"S"
"273";"skartek";"SAM";"S"
"274";"skat";"BES;SAM";"S"
"275";"skede";"SAM";"S"
"276";"skel";"SAM;KOG";"S"
"277";"skider";"SAM";"S"
"278";"skikkelse";"KRO;SAM";"S"
"279";"skikking";"SAM";"S"
"280";"skilt";"MIL;SAM";"S"
"281";"skole";"SAM";"S"
"282";"skrift";"HAN;SPR;SAM";"S"
"283";"skrivereskole";"SAM";"S"
"284";"skultus";"SAM";"S"
"285";"skyt";"SAM";"S"
"286";"skæft";"SAM";"S"
"287";"skældsbrev";"SAM";"S"
"288";"skælm";"SAM";"S"
"289";"skælmer";"SAM";"S"
"290";"skænder";"SAM";"S"
"291";"skænk";"SAM";"S"
"292";"skævl";"SAM";"S"
"293";"skøge";"SAM";"S"
"294";"slabberas";"VER;SAM";"S"
"295";"slagbro";"SAM";"S"
"296";"slemmere";"SAM";"S"
"297";"slopsæk";"SAM";"S"
"298";"slot";"MIL;SAM";"S"
"299";"slotsherre";"SAM";"S"
"300";"slugop";"SAM";"S"
"301";"sluse";"SAM";"S"
"302";"slyngel";"SAM";"S"
"303";"smigere";"SAM";"S"
"304";"smækfilleke";"SAM";"S"
"305";"snarkere";"SAM";"S"
"306";"snorker";"SAM";"S"
"307";"sone";"SAM;JUR";"S"
"308";"spefugl";"SAM";"S"
"309";"spil";"BEV;HAN;SAM";"S"
"310";"spilhus";"SAM";"S"
"311";"spillefugl";"DYR;SAM";"S"
"312";"spiller";"SAM;MUS";"S"
"313";"spilleside";"SAM";"S"
"314";"spir";"HÅN;SAM;SØF";"S"
"315";"splid";"SAM";"S"
"316";"spog";"REL;SAM";"S"
"317";"sprekker";"SAM";"S"
"318";"spækhøker";"SAM";"S"
"319";"stad";"VER;SAM";"S"
"320";"stade";"SAM;HAN;HUS";"S"
"321";"staler";"SAM";"S"
"322";"stalmester";"SAM";"S"
"323";"stat";"SAM";"S"
"324";"statholder";"SAM";"S"
"325";"steg";"SAM";"S"
"326";"stervbo";"SAM";"S"
"327";"stolbroder";"SAM;HÅN";"S"
"328";"stratenrøver";"SAM";"S"
"329";"strukrøver";"SAM";"S"
"330";"stræde";"SAM;SØF";"S"
"331";"studium";"SAM";"S"
"332";"stuve";"KVA;SAM";"S"
"333";"stymper";"SAM";"S"
"334";"styr";"SAM;HAN;SØF";"S"
"335";"styrvolt";"SAM";"S"
"336";"stævne";"JUR;SAM";"S"
"337";"sudler";"MIL;SAM";"S"
"338";"svend";"SAM";"S"
"339";"sæde";"HUS;SAM";"S"
"340";"sæk";"SAM";"S"
"341";"sækkedragere";"SAM";"S"
"342";"sætning";"SAM";"S"
"343";"sølvpop";"SAM;REL";"S"
"344";"søsterskap";"SLÆ;SAM";"S"
"345";"tablatur";"SAM";"S"
"346";"talsmand";"SAM;JUR";"S"
"347";"telt";"SAM";"S"
"348";"tilbringere";"SAM";"S"
"349";"tilhænger";"SAM";"S"
"350";"tingbog";"SAM";"S"
"351";"tingbænk";"SAM";"S"
"352";"tingest";"SAM";"S"
"353";"tinghøring";"SAM";"S"
"354";"tingmand";"SAM";"S"
"355";"tingstok";"SAM;JUR";"S"
"356";"togbrigge";"SAM";"S"
"357";"trappedrager";"SAM";"S"
"358";"trop";"SAM";"S"
"359";"trygler";"SAM";"S"
"360";"træring";"SAM";"S"
"361";"trøjedus";"SAM";"S"
"362";"trøler";"SAM";"S"
"363";"tudehorn";"SAM;SØF";"S"
"364";"tugtemester";"SAM;SØF";"S"
"365";"tumler";"SAM;HÅN";"S"
"366";"tumpe";"SAM";"S"
"367";"tusindkunstner";"SAM";"S"
"368";"tyran";"SAM";"S"
"369";"tærer";"SAM";"S"
"370";"tøddel";"SAM;KVA";"S"
"371";"tårn";"SAM";"S"
"372";"uadel";"SAM";"S"
"373";"udligger";"HÅN;SAM";"S"
"374";"ugelspegel";"SAM";"S"
"375";"uhyre";"SAM;FØL";"S"
"376";"undersåt";"SAM";"S"
"377";"vandsnider";"SAM";"S"
"378";"varde";"SAM;MIL";"S"
"379";"vartegn";"SAM;REL";"S"
"380";"varulv";"SAM;DYR";"S"
"381";"vederpart";"SAM;JUR;MIL;SPR";"S"
"382";"vejer";"SAM";"S"
"383";"veksler";"SAM";"S"
"384";"vibelle";"SAM";"S"
"385";"vildtbane";"SAM";"S"
"386";"viser";"SAM";"S"
"387";"vovehals";"SAM";"S"
"388";"vrager";"SAM";"S"
"389";"vægter";"MIL;SAM";"S"
"390";"vælde";"SAM;HAN";"S"
"391";"vært";"HUS;SAM";"S"
"392";"værtinde";"HUS;SAM";"S"
"393";"værtskab";"HUS;SAM";"S"
"394";"væsende";"SAM";"S"
"395";"våningshus";"SAM";"S"
"396";"ædelmand";"SAM";"S"
"397";"ædling";"SAM;FØL";"S"
"398";"ære";"FØL;SAM";"S"
"399";"øjentjener";"SAM";"S"
