lemma;tags;ordklasse
fejde;NA;V
feje;"hyg;zoo";V
fejre;NA;V
fernisere;NA;V
ferske;wheel;V
file;anchor;V
fimre;NA;V
fire;hån;V
flage;NA;V
florere;NA;V
flunke;NA;V
fly;NA;V
flygte;NA;V
fodre;anchor;V
foragte;psy;V
forandre;anchor;V
forarbejde;"hån;psy";V
forarge;psy;V
forarme;NA;V
forbande;NA;V
forbarme;NA;V
forbavse;NA;V
forbede;NA;V
forbedre;NA;V
forbeholde;NA;V
forberge;NA;V
forbie;NA;V
forbinde;NA;V
forbistre;NA;V
forbitre;NA;V
forbjude;NA;V
forblinde;hel;V
forblive;NA;V
forblomme;NA;V
forblænde;NA;V
forbløde;med;V
forbløffe;NA;V
forbrede;NA;V
forbryde;"kri;jur";V
forbrænde;wheel;V
forbulne;NA;V
forbyde;NA;V
forbygge;anchor;V
forbytte;NA;V
fordele;NA;V
fordemme;NA;V
fordrage;NA;V
fordre;spades;V
fordrikke;NA;V
fordriste;NA;V
fordrive;NA;V
fordærve;bik;V
fordøje;med;V
fordømme;"kom;rel";V
fordøve;NA;V
foreagte;NA;V
forebilde;NA;V
forebringe;NA;V
forefalde;NA;V
forefinde;NA;V
foregå;NA;V
forehave;NA;V
forekomme;NA;V
forelægge;NA;V
forene;NA;V
forenige;NA;V
forerre;NA;V
forese;NA;V
forestille;NA;V
forestå;NA;V
foresætte;swords;V
foretage;NA;V
forfalde;"ark;øko";V
forfalske;NA;V
forfange;NA;V
forfare;anchor;V
forfatte;lit;V
forfordele;NA;V
forfragte;"anchor;mercury";V
forfriske;"anchor;swords";V
forfule;NA;V
forfylde;NA;V
forfægte;NA;V
forfærde;psy;V
forfærdige;NA;V
forføje;NA;V
forfølge;swords;V
forføre;NA;V
forfå;NA;V
forgifte;NA;V
forgive;spades;V
forglemme;NA;V
forgribe;NA;V
forgrille;NA;V
forgylde;mtl;V
forgætte;NA;V
forgøre;NA;V
forgå;NA;V
forhade;NA;V
forhandle;"kom;han";V
forhaste;NA;V
forhindre;NA;V
forholde;NA;V
forhore;NA;V
forhugge;NA;V
forhverve;NA;V
forhyre;erh;V
forhærde;NA;V
