prefix;n;percent
af;18;1,17
an;36;2,34
be;173;11,24
er;8;0,52
for;246;15,98
fore;17;1,10
fyr;2;0,13
ge;4;0,26
over;26;1,69
rive;1;0,06
rust;1;0,06
sam;1;0,06
stif;1;0,06
til;23;1,49
ud;50;3,25
und;35;2,27
under;29;1,88
van;3;0,19
veder;8;0,52
vrag;1;0,06
vån;1;0,06
vædde;1;0,06
vær;7;0,45
NA;847;55,04
