lemma;tags
bestride;"jur;erh;øko"
bestrikke;NA
bestryge;mil
bestyre;NA
bestaa;NA
besvige;NA
besvime;fyo
besvær;comet
besvære;NA
besværge;rel
besynderlig;NA
besætte;"mil;pol;rel"
besøge;NA
besøle;NA
besørge;zoo
betage;psy
betakke;kom
betale;øko
betegne;"spr;kom"
betids;NA
betinge;med
betragte;NA
betro;NA
betryk;NA
betrykke;NA
betræde;comet
betrænge;NA
betrængt;soc
betuttet;psy
betvinge;NA
betyde;spr
betække;NA
betænke;psy
betænkelig;NA
bevandre;NA
bevant;NA
bevare;"rel;ark"
bevende;comet
bevilge;øko
bevilling;NA
bevise;jur
bevislig;NA
bevæge;psy
bevægelig;NA
bevaagen;NA
bi;anchor
bibel;NA
bifalde;psy
bigat;anchor
bigtpenge;NA
bikke;wheel
bikkel;NA
bil;"wheel;anchor"
billede;spades
billig;"øko;sex"
bindike;NA
bindsel;anchor
bindt;NA
bindøkse;wheel
birk;NA
bislag;ark
bislopperske;NA
bismer;fsk
bismervægt;fsk
bisse;NA
bistand;soc
bister;psy
bisterlig;NA
bistre;NA
bistå;"øko;kom"
bistaa;NA
bit;NA
bitte;mål
bitter;NA
bitterlig;NA
blabre;NA
blank;"opt;fsk;typ;mil"
blege;fish
blegne;"ana;med"
bles;NA
blide;NA
blik;mtl
blikke;"wheel;comet"
blinke;NA
blis;NA
blive;"spr;øko"
blixen;NA
blok;"gel;hån;byg;pap;pol;frm;tek"
blokke;NA
blomme;bot
blot;NA
blotte;swords
blus;anchor
bly;NA
blyant;NA
blyglætte;NA
blæne;med
blænker;mil
blødelse;NA
boble;NA
bodfærdig;rel
bog;bot
bogfinke;zoo
boghvede;bot
bokse;NA
bol;NA
bold;NA
bole;sex
bolle;NA
bolskab;NA
bolt;anchor
bolværk;hvn
bom;"trf;spo;ski"
bommesi;NA
bomolie;NA
bomuld;NA
bone;NA
bopæl;NA
borde;søf
borg;NA
borge;NA
borgeleje;comet
borger;NA
borgerskab;anchor
borgerske;NA
borgmester;"pol;oad"
bort;NA
boulevard;trf
boveri;NA
bovspryd;ski
brad;NA
bradbænk;anchor
brade;NA
bradspid;NA
brage;NA
brak;NA
bram;NA
bras;NA
brase;NA
brasem;NA
brasen;fish
brask;NA
braske;NA
brasse;NA
bregne;flower
bremse;aut
brik;NA
briks;anchor
brille;"wheel;anchor;swords"
bringe;kom
brink;swords
brise;met
brist;NA
brok;med
brokfugl;zoo
brombær;flower
brosme;fish
brovte;kom
brug;NA
bruge;NA
brum;NA
brumle;NA
brumme;spr
brunere;NA
bruse;hav
bry;NA
bryde;NA
bræk;NA
brække;"med;hån"
brækkelig;NA
bræmme;NA
brændevin;drk
brændvin;NA
bræt;"tøm;spi;bol;tea"
brøde;NA
brødsukker;NA
brøstfældig;ark
buddike;bot
bue;NA
bugbid;NA
bugspryd;"comet;anchor"
bugt;geg
bukke;ana
buksbom;flower
bukse;NA
bulder;NA
buldre;NA
bule;fyo
bumester;NA
bundt;"music;swords"
bunke;NA
buntemagere;NA
buntmager;skr
buntmagere;NA
burde;NA
bursk;NA
bursprog;comet
bussemand;hyg
busseskib;comet
bydle;NA
byge;NA
bylt;NA
bynne;NA
byse;NA
bytte;zoo
bægt;NA
bækken;"ana;sun;msk;gel"
bære;"music;anchor;swords"
bærme;"nyd;lan;scl"
bæst;zoo
bæve;NA
bæver;NA
bævergejl;NA
bøddel;NA
bøddele;NA
bødker;NA
bøffel;NA
bøje;"swords;anchor"
bøjert;anchor
bølge;NA
bønhas;NA
bønhase;NA
bør;"tøj;hav"
børlig;NA
bøsse;"våb;sex"
bøssekrudt;NA
bøssesten;NA
bøtte;NA
både;NA
baade;NA
baadsmand;anchor
båke;hvn
baake;anchor
baare;swords
celle;"anchor;wheel"
chartek;NA
daddel;bot
dagting;comet
dagtinge;NA
dale;NA
damas;NA
damask;NA
-dan;NA
danne;pæd
dannekvinde;NA
dannemand;NA
dat;NA
datlig;NA
datum;NA
deger;mercury
dejlig;NA
dejse;anchor
del;"und;tek;mål"
delagtig;NA
dele;"mat;edb"
deromtrent;NA
desligeste;NA
desmer;NA
desmerdyr;zoo
desmerurt;bot
desto;NA
dialesalve;NA
digegreve;NA
digel;kem
digt;NA
digte;lit
dirk;NA
dise;NA
dising;NA
djærv;NA
djævelsk;NA
dobbe;NA
dobbel;NA
dobbelt;"comet;music;swords;anchor"
doble;NA
dog;NA
dogge;anchor
dok;"ski;hvn"
dol;NA
dole;NA
dollar;ban
dolslag;NA
donkraft;hån
drabant;NA
drabelig;NA
drage;"myt;lgg;spo;his;zoo"
drager;"rej;ark"
dragesele;NA
dragt;NA
dranker;NA
dravante;NA
dravantere;NA
dreje;"spr;tel;pom;hån;han"
dressel;NA
driftig;NA
drikfældig;drk
drille;NA
driste;NA
dristelig;NA
dristig;NA
drog;NA
dromedar;NA
drone;"zoo;tek;mil;msk"
dros;NA
drossel;zoo
drost;NA
dru;NA
drue;swords
druebor;wheel
drukkenbolt;drk
drukkenskab;NA
drummer;NA
drunk;NA
dryp;NA
dryppe;NA
dræk;NA
dræksjung;comet
drøve;NA
drøvelig;NA
drøvelse;NA
dudendop;NA
dug;tin
dugge;NA
dugt;søf
dukke;wheel
dumkøn;NA
dumrian;NA
dunder;NA
dundre;NA
dunk;NA
dunst;NA
dup;"swords;anchor;wheel"
durik;NA
dus;spades
dusin;NA
dval;NA
dvaledrik;NA
dvas;NA
dvælg;anchor
dygtig;NA
dyppe;NA
dyrebar;NA
dyrelig;NA
dyring;NA
dyst;NA
dyster;NA
dyvel;hån
dække;NA
dæksel;tek
dæle;NA
dæmpe;fys
dærve;NA
dødike;NA
dødslag;NA
døje;NA
dørk;ski
dørns;NA
dørslag;swords
døse;NA
døsin;NA
døssin;NA
dåb;rel
daaragtig;NA
dåre;NA
daare;NA
dårekiste;med
daarekiste;NA
daarlig;NA
