lemma;tags;ordklasse
lidelig;NA;A
liflig;NA;A
livagtig;NA;A
livsalig;NA;A
lutter;NA;A
lybsk;mercury;A
lydelig;NA;A
lydt;NA;A
lykkelig;NA;A
lyksalig;NA;A
lyksom;NA;A
lystelig;NA;A
lystig;NA;A
læg;NA;A
lækker;"mad;fys;sex;hyg";A
løbsk;NA;A
lødig;swords;A
løj;anchor;A
magelig;NA;A
mandbar;NA;A
mangelhaftig;NA;A
men;NA;A
middel;NA;A
middelmådig;NA;A
mildelig;NA;A
mindelig;NA;A
misdædisk;NA;A
mishagelig;NA;A
modvillig;NA;A
mulig;NA;A
mundtlig;"spr;und";A
murrisk;NA;A
myndig;jur;A
mægtig;NA;A
mødig;NA;A
møjelig;NA;A
mådelig;und;A
måg;NA;A
månesyg;NA;A
nabolig;NA;A
nagelfast;NA;A
naragtig;NA;A
naturlig;NA;A
navnlig;NA;A
nederst;NA;A
nedrig;NA;A
nemlig;NA;A
nidkær;NA;A
noksom;NA;A
nydelig;NA;A
nylig;NA;A
nyttelig;NA;A
nyttig;NA;A
nærig;NA;A
næsvis;psy;A
nødig;NA;A
nødtørftig;NA;A
nøgtern;NA;A
nøjagtig;NA;A
nøje;NA;A
nøjsom;NA;A
old;NA;A
omflottig;NA;A
omsigtig;NA;A
omsonst;NA;A
oprigtig;NA;A
oprørsk;NA;A
opstudsig;NA;A
opsætsig;NA;A
ostersk;NA;A
overbødig;NA;A
overdådig;NA;A
overflødelig;NA;A
overflødig;NA;A
overgiven;NA;A
overhændig;NA;A
overhørig;NA;A
overlandisk;NA;A
overlang;anchor;A
overlegen;psy;A
overliggende;anchor;A
overmådig;NA;A
overvældig;NA;A
pinlig;NA;A
plat;NA;A
pligtig;NA;A
pludselig;NA;A
pludsig;NA;A
plump;NA;A
podagelsk;NA;A
priselig;NA;A
privet;NA;A
prysk;NA;A
rap;spr;A
rar;NA;A
rasende;NA;A
rask;NA;A
reddesløs;NA;A
rede;NA;A
redelig;NA;A
redig;NA;A
rejsig;NA;A
remmet;NA;A
ret;NA;A
retfærdig;rel;A
retmæssig;NA;A
retsindig;NA;A
retskyldig;NA;A
ridderlig;NA;A
rigsk;NA;A
rigtig;NA;A
ringe;øko;A
rinsk;NA;A
riselsk;NA;A
risk;NA;A
romtalende;NA;A
rosenfarvet;NA;A
rosom;NA;A
ru;ana;A
rund;NA;A
russisk;flower;A
rustig;NA;A
ryggesløs;NA;A
rygtig;NA;A
rystig;NA;A
rørig;NA;A
sagt;NA;A
sagtmodig;psy;A
salig;rel;A
saliglig;NA;A
samtlig;NA;A
seglrede;NA;A
segnet;NA;A
selvdigtet;NA;A
selvmyndig;NA;A
selvstændig;NA;A
selvvillig;NA;A
selvvoxen;NA;A
sikker;NA;A
sikkerlig;NA;A
simpel;"spades;swords";A
sindelig;NA;A
sindesløs;NA;A
sindig;psy;A
sindløs;NA;A
sindrig;NA;A
skabet;NA;A
skalkagtig;NA;A
skars;NA;A
skedelig;NA;A
skikkelig;NA;A
skinbar;NA;A
skinbarlig;NA;A
skovisk;NA;A
skrammet;NA;A
skrat;NA;A
skrå;NA;A
skuløret;NA;A
sky;NA;A
skyldig;"jur;psy;øko";A
skæftig;NA;A
skændelig;NA;A
skændig;NA;A
skæv;NA;A
skøn;NA;A
slag;NA;A
slank;NA;A
slap;NA;A
sleg;NA;A
sleger;NA;A
slem;NA;A
slibrig;NA;A
slimig;NA;A
slunken;NA;A
sløj;fyo;A
smagelig;NA;A
smal;NA;A
smidig;"fys;ana;psy;msk;spr";A
smigelig;NA;A
smug;NA;A
smuk;"spr;met";A
smædelig;NA;A
smægtig;NA;A
smælig;NA;A
smørrig;NA;A
snedig;NA;A
snel;NA;A
snildrådig;NA;A
snorlige;NA;A
snorret;NA;A
sorgfældig;NA;A
sorrigfældig;NA;A
spedalsk;med;A
spids;NA;A
spinket;NA;A
spirisk;NA;A
spitalig;NA;A
spottelig;NA;A
sprinklet;NA;A
spy;NA;A
spydig;kom;A
spydsk;NA;A
stadelig;NA;A
standfast;NA;A
standhaftig;psy;A
starblind;fyo;A
statelig;NA;A
stejl;psy;A
stenet;NA;A
stenig;NA;A
stille;"anchor;mercury";A
stiv;"met;mad";A
stivnakket;NA;A
stokblind;NA;A
stolt;flower;A
straffelig;NA;A
strag;NA;A
stram;"ana;psy";A
streng;NA;A
strevig;NA;A
stribet;"flower;mercury";A
stridbar;NA;A
stridig;NA;A
strøv;NA;A
stub;NA;A
stum;"music;bird";A
stump;NA;A
stuv;NA;A
stædig;NA;A
stændig;NA;A
sund;NA;A
svadanig;NA;A
svag;"fyo;hel;bio;tek;psy;sam;spr";A
svanger;NA;A
svar;NA;A
svarlig;NA;A
svejfet;ark;A
svind;NA;A
svindig;NA;A
svindt;NA;A
synderlig;NA;A
sædelig;NA;A
sælsom;NA;A
sær;NA;A
sådan;NA;A
taknemmelig;NA;A
temmelig;NA;A
terig;NA;A
tidig;music;A
tidlig;NA;A
tilbehørende;NA;A
tilbehørig;NA;A
tildrægig;NA;A
tilforladelig;NA;A
tilfreds;NA;A
tilfældig;sta;A
tilgedan;NA;A
tilgenegen;NA;A
tilkomstig;NA;A
tilovers;NA;A
tilpas;NA;A
tjenstagtig;NA;A
tjenstlig;NA;A
torpelig;NA;A
tradselig;NA;A
trind;NA;A
træffelig;NA;A
træsk;NA;A
tugtig;NA;A
turig;NA;A
turlig;NA;A
tusindfold;NA;A
tvedragtig;NA;A
tvefoldig;NA;A
tvefærdig;NA;A
tvilelig;NA;A
tvistig;NA;A
tvivlagtig;NA;A
tvivlmodig;NA;A
tærtelig;NA;A
uafladelig;NA;A
uagtet;NA;A
uanset;NA;A
uartig;NA;A
ubarmhjertig;NA;A
