"";"lemma";"tags";"ordklasse"
"197";"brage";NA;"S"
"198";"bram";NA;"S"
"199";"bras";NA;"S"
"200";"brase";NA;"S"
"201";"brasen";"fish";"S"
"202";"brask";NA;"S"
"203";"bregne";"flower";"S"
"204";"bremse";"aut";"S"
"205";"brik";NA;"S"
"206";"briks";"anchor";"S"
"207";"brink";"swords";"S"
"208";"brise";"met";"S"
"209";"brist";NA;"S"
"210";"brok";"med";"S"
"211";"brokfugl";"zoo";"S"
"212";"brombær";"flower";"S"
"213";"brosme";"fish";"S"
"214";"brug";NA;"S"
"215";"brum";NA;"S"
"216";"bry";NA;"S"
"217";"bræk";NA;"S"
"218";"bræmme";NA;"S"
"219";"brændevin";"drk";"S"
"220";"bræt";"tøm;spi;bol;tea";"S"
"221";"brøde";NA;"S"
"222";"brødsukker";NA;"S"
"223";"buddike";"bot";"S"
"224";"bugbid";NA;"S"
"225";"bugspryd";"comet;anchor";"S"
"226";"bugt";"geg";"S"
"227";"buksbom";"flower";"S"
"228";"bukse";NA;"S"
"229";"bulder";NA;"S"
"230";"bule";"fyo";"S"
"231";"bumester";NA;"S"
"232";"bundt";"music;swords";"S"
"233";"buntmager";"skr";"S"
"234";"bursprog";"comet";"S"
"235";"bussemand";"hyg";"S"
"236";"busseskib";"comet";"S"
"237";"bylt";NA;"S"
"238";"bynne";NA;"S"
"239";"byse";NA;"S"
"240";"bytte";"zoo";"S"
"241";"bægt";NA;"S"
"242";"bækken";"ana;sun;msk;gel";"S"
"243";"bære";"music;anchor;swords";"S"
"244";"bærme";"nyd;lan;scl";"S"
"245";"bæst";"zoo";"S"
"246";"bæver";NA;"S"
"247";"bævergejl";NA;"S"
"248";"bøddel";NA;"S"
"249";"bøddele";NA;"S"
"250";"bødker";NA;"S"
"251";"bøffel";NA;"S"
"252";"bøje";"swords;anchor";"S"
"253";"bøjert";"anchor";"S"
"254";"bønhas";NA;"S"
"255";"bør";"tøj;hav";"S"
"256";"bøsse";"våb;sex";"S"
"257";"bøssekrudt";NA;"S"
"258";"bøssesten";NA;"S"
"259";"bøtte";NA;"S"
"260";"både";NA;"S"
"261";"bådsmand";"anchor";"S"
"262";"båke";"hvn";"S"
"263";"båre";"swords";"S"
"264";"celle";"anchor;wheel";"S"
"265";"chartek";NA;"S"
"266";"daddel";"bot";"S"
"267";"dagting";"comet";"S"
"268";"damask";NA;"S"
"269";"dannekvinde";NA;"S"
"270";"dannemand";NA;"S"
"271";"dat";NA;"S"
"272";"datum";NA;"S"
"273";"deger";"mercury";"S"
"274";"del";"und;tek;mål";"S"
"275";"desmer";NA;"S"
"276";"desmerdyr";"zoo";"S"
"277";"desmerurt";"bot";"S"
"278";"dialesalve";NA;"S"
"279";"digegreve";NA;"S"
"280";"digel";"kem";"S"
"281";"digt";NA;"S"
"282";"dirk";NA;"S"
"283";"dise";NA;"S"
"284";"dising";NA;"S"
"285";"dobbe";NA;"S"
"286";"dobbel";NA;"S"
"287";"dok";"ski;hvn";"S"
"288";"dole";NA;"S"
"289";"dollar";"ban";"S"
"290";"dolslag";NA;"S"
"291";"donkraft";"hån";"S"
"292";"drabant";NA;"S"
"293";"drager";"rej;ark";"S"
"294";"dragesele";NA;"S"
"295";"dragt";NA;"S"
"296";"dranker";NA;"S"
"297";"dressel";NA;"S"
"298";"drog";NA;"S"
"299";"dromedar";NA;"S"
"300";"drone";"zoo;tek;mil;msk";"S"
"301";"dros";NA;"S"
"302";"drossel";"zoo";"S"
"303";"drost";NA;"S"
"304";"dru";NA;"S"
"305";"drue";"swords";"S"
"306";"druebor";"wheel";"S"
"307";"drukkenbolt";"drk";"S"
"308";"drukkenskab";NA;"S"
"309";"drummer";NA;"S"
"310";"drunk";NA;"S"
"311";"dryp";NA;"S"
"312";"dræk";NA;"S"
"313";"dræksjung";"comet";"S"
"314";"drøvelse";NA;"S"
"315";"dudendop";NA;"S"
"316";"dug";"tin";"S"
"317";"dugt";"søf";"S"
"318";"dukke";"wheel";"S"
"319";"dumrian";NA;"S"
"320";"dunder";NA;"S"
"321";"dunk";NA;"S"
"322";"dunst";NA;"S"
"323";"dup";"swords;anchor;wheel";"S"
